"loc","year","gen","yield"
"Lawes",1970,"G01",2.387
"Lawes",1970,"G02",2.282
"Lawes",1970,"G03",2.567
"Lawes",1970,"G04",2.877
"Lawes",1970,"G05",2.392
"Lawes",1970,"G06",2.408
"Lawes",1970,"G07",2.699
"Lawes",1970,"G08",2.457
"Lawes",1970,"G09",2.567
"Lawes",1970,"G10",2.984
"Lawes",1970,"G11",1.663
"Lawes",1970,"G12",1.964
"Lawes",1970,"G13",1.472
"Lawes",1970,"G14",2.72
"Lawes",1970,"G15",2.22
"Lawes",1970,"G16",1.655
"Lawes",1970,"G17",1.722
"Lawes",1970,"G18",1.432
"Lawes",1970,"G19",1.434
"Lawes",1970,"G20",0.998
"Lawes",1970,"G21",1.373
"Lawes",1970,"G22",2.185
"Lawes",1970,"G23",2.405
"Lawes",1970,"G24",2.643
"Lawes",1970,"G25",2.315
"Lawes",1970,"G26",3.211
"Lawes",1970,"G27",2.239
"Lawes",1970,"G28",2.775
"Lawes",1970,"G29",1.848
"Lawes",1970,"G30",1.402
"Lawes",1970,"G31",2.562
"Lawes",1970,"G32",3.003
"Lawes",1970,"G33",2.395
"Lawes",1970,"G34",2.4
"Lawes",1970,"G35",2.341
"Lawes",1970,"G36",1.98
"Lawes",1970,"G37",2.166
"Lawes",1970,"G38",2.341
"Lawes",1970,"G39",2.435
"Lawes",1970,"G40",1.556
"Lawes",1970,"G41",1.967
"Lawes",1970,"G42",2.241
"Lawes",1970,"G43",1.369
"Lawes",1970,"G44",1.456
"Lawes",1970,"G45",3.259
"Lawes",1970,"G46",1.44
"Lawes",1970,"G47",2.298
"Lawes",1970,"G48",4.381
"Lawes",1970,"G49",2.761
"Lawes",1970,"G50",3.375
"Lawes",1970,"G51",0.586
"Lawes",1970,"G52",0.775
"Lawes",1970,"G53",2.748
"Lawes",1970,"G54",2.734
"Lawes",1970,"G55",2.306
"Lawes",1970,"G56",3.17
"Lawes",1970,"G57",3.119
"Lawes",1970,"G58",1.227
"Brookstead",1970,"G01",1.253
"Brookstead",1970,"G02",1.167
"Brookstead",1970,"G03",0.468
"Brookstead",1970,"G04",1.445
"Brookstead",1970,"G05",1.338
"Brookstead",1970,"G06",0.913
"Brookstead",1970,"G07",1.239
"Brookstead",1970,"G08",0.385
"Brookstead",1970,"G09",1.108
"Brookstead",1970,"G10",1.796
"Brookstead",1970,"G11",1.023
"Brookstead",1970,"G12",0.793
"Brookstead",1970,"G13",0.577
"Brookstead",1970,"G14",1.348
"Brookstead",1970,"G15",1.645
"Brookstead",1970,"G16",0.859
"Brookstead",1970,"G17",1.209
"Brookstead",1970,"G18",1.164
